filename,FLOPs,Unit
AbstractFactory.java,1.869G,85.132M
DPAbstractFactory.java,5.776G,85.132M
FactoryNotebookGamer.java,3.567G,85.132M
FactoryNotebookOfficeW.java,3.567G,85.132M
FactoryProvider.java,7.135G,85.132M
Notebook.java,1.444G,85.132M
NotebookGamer.java,3.992G,85.132M
NotebookOfficeW.java,4.162G,85.132M
Annotation.java,14.354G,85.132M
AnnotationOption.java,9.003G,85.132M
BestMatchResponse.java,9.258G,85.132M
Category.java,18.601G,85.132M
CreateResponse.java,10.022G,85.132M
DeleteResponse.java,4.841G,85.132M
GeocoderRequest.java,32.360G,85.132M
GeocoderResponse.java,12.571G,85.132M
Posting.java,103.281G,85.132M
PostingHistory.java,16.308G,85.132M
SearchRequest.java,113.898G,85.132M
SearchResponse.java,20.979G,85.132M
Source.java,22.508G,85.132M
SummaryRequest.java,15.119G,85.132M
SummaryResponse.java,12.061G,85.132M
UpdateResponse.java,4.841G,85.132M
Utils.java,11.466G,85.132M
Animal.java,31.341G,85.132M
Car.java,89.182G,85.132M
Computer.java,65.655G,85.132M
DataBase.java,25.141G,85.132M
Document.java,32.615G,85.132M
Furniture.java,46.884G,85.132M
GUI.java,43.996G,85.132M
Restaurant.java,49.007G,85.132M
JobSchedulerFacade.java,88.077G,85.132M
RemoteJMXBrokerFacade.java,88.077G,85.132M
SingletonBrokerFacade.java,88.077G,85.132M
AbstractAdapter.java,16.478G,85.132M
ChemvantageAdapter.java,11.127G,85.132M
IBasicLTIAdapter.java,3.652G,85.132M
NoteflightAdapter.java,10.957G,85.132M
PeoplesoftAdapter.java,14.779G,85.132M
SakaiAdapter.java,22.423G,85.132M
StandardAdapter.java,10.787G,85.132M
WikispacesAdapter.java,11.297G,85.132M
WimbaAdapter.java,14.949G,85.132M
a.java,53.254G,85.132M
b.java,24.292G,85.132M
Calculator.java,24.292G,85.132M
ILightningPhone.java,53.254G,85.132M
AddEntityMemento.java,6.285G,85.132M
TransactionAwareSingleton.java,53.934G,85.132M
ElementPrototype.java,279.265G,85.132M
ElementPrototypeTest.java,279.265G,85.132M
ProxyServlet.java,43.742G,85.132M
AdminUserEmailEventHandlerSingletons.java,64.805G,85.132M
AllMotionRectanglesResultsCacheSingleton.java,29.897G,85.132M
BufferedImagePoolSingleton.java,27.434G,85.132M
ConsolidatedMotionRectanglesResultsCacheSingleton.java,30.237G,85.132M
ConstrainedMotionRectanglesResultsCacheSingleton.java,27.349G,85.132M
CurrentlyPressedTouchButtonSingleton.java,23.782G,85.132M
DisplayInfoSingleton.java,291.581G,85.132M
GameConfigurationPersistanceSingleton.java,8.239G,85.132M
GameConfigurationSingleton.java,18.091G,85.132M
GamePersistanceSingleton.java,7.474G,85.132M
HighScoreNamePersistanceSingleton.java,77.546G,85.132M
ImageComparisonResultCacheSingleton.java,26.330G,85.132M
InputAutomationModuleConfigurationsSingletonFactory.java,6.540G,85.132M
KeySingletonFactory.java,195.180G,85.132M
LicenseInterfaceSingleton.java,8.579G,85.132M
MakeCountedPartsSingletonArrayFactory.java,41.448G,85.132M
NoGameNotificationHudSingleton.java,28.368G,85.132M
NullHighScoresSingletonFactory.java,7.559G,85.132M
